"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CODIGO","DESCRICAO","","","","","","","","NR FABRIC.","","Nro.: ORIGINAL","","","SKU","","UN.COMP","CUSTO UL C.","","CUSTO MEDIO","","","TRIB.SAI","QTDE ESTQ.","EST.MIN.","","(EST-PEND","LINHA","","","UL.COMPRA","","SAIDA.","ENTR.","","SALDO","CONDIÇÃ","","SAIDA  ","ENTR.  ","SALDO  ","CONDIÇÃ","","PESO BRUTO",""
"3015","ABRACADEIRA 16 MM (BRAÇO ESPELHO)","","","","","","","","M044A","","","","","","","PC ","3.94 ","","3.64 ","","","S1   ","10.00 ","14.00 ","","-4","LOJA RP OK","","","9999-1/2-/31","","0","70 ","","70","S/Analise","","0","0","0","C/Analise","","0",""
"46823","ABRACADEIRA 16 MM (BRAÇO ESPELHO)","","","","","","","","M044A","","","","","","","PC ","0.00 ","","0.00 ","","","S1   ","10.00 ","14.00 ","","-4","SALÃO 11/2017","","","9999-1/2-/31","","0","0 ","","0","C/analise","","0","0","0","C/Analise","","0",""
"33810","ABRACADEIRA 19 MM (BRAÇO ESPELHO)","","","","","","","","M044B","","","","","","","PC ","2.95 ","","2.95 ","","","S1   ","0.00 ","1.00 ","","-1","SALÃO 11/2017","","","9999-1/2-/31","","0","0 ","","0","C/analise","","0","10","10","S/Analise","","0",""
"3016","ABRACADEIRA 19 MM (BRAÇO ESPELHO)","","","","","","","","M044B","","","","","","","PC ","2.75 ","","3.16 ","","","S1   ","0.00 ","0.00 ","","0","SIMILAR C/ QUANTID","","","9999-1/2-/31","","0","115 ","","115","S/Analise","","0","0","0","C/Analise","","0",""
"3444","ABRACADEIRA 2"" PINTADA","","","","","","","","B070","","","","","","","PC ","14.30 ","","10.66 ","","","S1   ","3.00 ","4.00 ","","-1","LOJA RP OK","","","9999-1/2-/31","","0","12 ","","12","S/Analise","","0","0","0","C/Analise","","0",""
"30859","ABRACADEIRA 2"" PINTADA ","","","","","","","","B070","","","","","2175","","PC ","8.76 ","","8.76 ","","","S1   ","0.00 ","0.00 ","","0","SALÃO OK","","","9999-1/2-/31","","0","8 ","","8","S/Analise","","0","2","2","S/Analise","","0.2",""
"3445","ABRACADEIRA 2,5"" PINTADA","","","","","","","","B070A","","","","","","","PC ","5.58 ","","5.98 ","","","S1   ","2.00 ","0.00 ","","2","LOJA ERRO ESTOQUE","","","9999-1/2-/31","","0","131 ","","131","S/Analise","","0","4","4","S/Analise","","0",""
"30181","ABRACADEIRA 2,5"" PINTADA","","","","","","","","B070A","","","","","7465","","PC ","9.97 ","","9.94 ","","","S1   ","0.00 ","0.00 ","","0","SALÃO OK","","","9999-1/2-/31","","0","30 ","","30","S/Analise","","0","14","14","S/Analise","","0.5",""
"3518","ABRACADEIRA 3"" CROMADA C/ SUPORTE RETO ALÇA ","","","","","","","","B074D","","BEPO","","","","","PC ","46.64 ","","46.64 ","","","S1   ","0.00 ","0.00 ","","0","MINIMO AVALIAÇÃO","","","9999-1/2-/31","","0","47 ","","47","S/Analise","","0","24","24","S/Analise","","0",""
"3490","ABRACADEIRA 3"" CROMADA C/ SUPORTE RETO ALÇA ","","","","","","","","B074D","","","","","","","PC ","46.64 ","","15.55 ","","","S1   ","6.00 ","6.00 ","","0","LOJA RP OK","","","9999-1/2-/31","","0","2 ","","2","S/Analise","","0","0","0","C/Analise","","0",""
