"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CODIGO","DESCRICAO","","","","","","","","NR FABRIC.","","Nro.: ORIGINAL","","","SKU","","UN.COMP","CUSTO UL C.","","CUSTO MEDIO","","","TRIB.SAI","QTDE ESTQ.","EST.MIN.","","(EST-PEND","LINHA","","","UL.COMPRA","","SAIDA.","ENTR.","","SALDO","CONDIÇÃ","","SAIDA  ","ENTR.  ","SALDO  ","CONDIÇÃ","","PESO BRUTO",""
"1","ZZZZZSUPORTE (A6674280840) DCBR","","","","","","","","I1833","","7895272214858","","","","","KG ","00.00","","00.00","","","99999","00.00","00.00","","-1","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"5","MANGUEIRA (A6885467030) CABOS PLASTICOS MBB","","","","","","","","I1845","","","","","","","MT ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"13","LANTERNA TRASEIRA MB MODERNO C/VIGIA LED 12V","","","","","","","","L5021","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","1","MINIMO AVALIAÇÃO","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"14","DUTO (08316054000) DISTR.AR CENTRAL IVECO","","","","","","","","I1961","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"16","ZZZZZ DISTRIBUIDOR (08316002200) AR LD IVECO","","","","","","","","I1963","","","","","","","PC ","00.02","","00.02","","","S1   ","00.00","00.00","","4","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"19","PLUG PVC NPT 1/2""","","","","","","","","I1711","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"20","CACHIMBO COROTE PLASTICO C/TAMPA ","","","","","","","","M199A","","","","","","","PC ","00.00","","00.00","","","S1   ","00.06","00.00","","57","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"25","COROTE AGUA PLASTICO 42LTS PRETO","","","","","","","","M230E","","M237","","","","","PC ","00.09","","00.09","","","S1   ","00.01","00.01","","-3","LOJA RP OK","","","9999-1/2-/31","","0","00","","125","S/Analise","","0","2","2","S/Analise","","0",""
"26","COROTE AGUA PLASTICO 26LTS (MOD.RANDON)","","","","","","","","EM198H","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"30","RESPIRO TQ.COMB.PLAST.","","","","","","","","EM195M","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"31","TAMPAO P/INTERL.M38 C/COTOVELO","","","","","","","","EM195P","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"32","TAMPAO ROSCA PLASTICA M38 COM PENEIRA","","","","","","","","EM195Q","","","","","","","PC ","00.00","","00.00","","","S1   ","00.04","00.01","","27","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"33","TAMPAO P/INTERLIGACAO ROSCA PLAST.C/PENEIRA","","","","","","","","EM195R","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"35","BUJAO NYLON (503120851) SEXT.INTERNO","","","","","","","","I1293","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"38","TAMPA COROTE BARRICA D'AGUA 35MM MENOR","","","","","","","","M199BP","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.01","","-12","LOJA RP OK","","","9999-1/2-/31","","0","00","","102","S/Analise","","0","0","0","C/Analise","","0",""
